,nombre,Este,Norte,Tipo Tecnología,zona o huso,Huso,Banda,Latitud,Longitud
1711,PMGD PFV CHACABUCO,340041,6352431,Fotovoltaica,19 H,19,H,-32.95473861,-70.71135481
1713,PMGD PFV VILLA CRUZ,238976.1,6057640.8,Fotovoltaica,19J,19,J,-35.59056872,-71.88094396
1718,PMGD PFV PULLALLI SOLAR,286466,6406821,Fotovoltaica,19J,19,J,-32.45532237,-71.27173232
1719,PMGD PFV MARIA PINTO,295180.07,6289663.21,Fotovoltaica,19 H,19,H,-33.51299463,-71.205198
1720,PMGD PFV TRICA-DOS,266260,6057530,Fotovoltaica,19 H,19,H,-35.59838789,-71.58013021
1721,PMGD PFV LLANOS DE POTROSO,320000,6706960,Fotovoltaica,19 J,19,J,-29.75455426,-70.86156495
1723,PMGD PFV CATEMU,315940,6376523,Fotovoltaica,19 H,19,H,-32.73374514,-70.96428961
1724,PMGD PFV EL CHUCAO,236016,6009714,Fotovoltaica,19 H,19,H,-36.02133972,-71.92939477
1725,PMGD PFV JAHUEL,347960,6382585,Fotovoltaica,19H,19,H,-32.6839717,-70.62171326
1726,PMGD PFV DARLIN SOLAR,327006,6263290,Fotovoltaica,19 S,19,S,-33.75636567,-70.86784346
1727,PMGD PFV UTFSM VALPARAISO VALDES,257834.3,6341882.61,Fotovoltaica,19H,19,H,-33.0346558,-71.59299348
1728,PMGD PFV UTFSM VIÑA DEL MAR,267890.09,6341991.53,Fotovoltaica,19H,19,H,-33.035865,-71.48538309
1729,PMGD PFV COVADONGA,369631,7075755,Fotovoltaica,19 J,19,J,-26.43250806,-70.30743421
1730,PMGD PFV GIRASOLES,307327.5,6301437.56,Fotovoltaica,19 H,19,H,-33.40912202,-71.07196208
1731,PMGD PFV ANTONIA SOLAR,320408.4,6192202.31,Fotovoltaica,19 H,19,H,-34.39602265,-70.95370563
1732,PMGD PFV PARQUE SOLAR SANTA FE,254907.19,6054707.2,Fotovoltaica,19 H,19,H,-35.62106402,-71.70618235
1733,PMGD PFV ÑIQUEN,249260.12,5980069.02,Fotovoltaica,19 H,19,H,-36.29179205,-71.79204287
1734,PMGD PFV DON MARIANO,333133.1,6182436.36,Fotovoltaica,19 H,19,H,-34.48618212,-70.81724789
1735,PMGD PFV VILLA ALEGRE,254862,6046854,Fotovoltaica,19 H,19,H,-35.69178158,-71.70907014
1736,PMGD PFV QUELTEHUE SOLAR,6193158.82,320048.89,Fotovoltaica,19 H,19,H,-44.5661685,18.18939485
1737,PMGD PFV PITOTOY,6193061,319927,Fotovoltaica,19 H,19,H,-44.56684277,18.19040921
1738,PMGD PFV GR LEMU,247117.09,6055548.86,Fotovoltaica,19 H,19,H,-35.61152212,-71.79184283
1739,PMGD PFV LA CHIMBA BIS,285885.28,6606788.16,Fotovoltaica,19J,19,J,-30.65242167,-71.23449742
1744,PMGD PFV EL RESPLANDOR,732739,5897568,Fotovoltaica,18H,18,H,-37.03927467,-72.3831569
1745,PMGD PFV SANTA AMELIA,288126.29,6189779.72,Fotovoltaica,19H,19,H,-34.41174286,-71.30525742
1747,PMGD PFV EL LITRE SOLAR,334138,6332974,Fotovoltaica,19S,19,S,-33.12928135,-70.77800532
1748,PMGD PFV SOL DE SEPTIEMBRE,326247,6313882.7,Fotovoltaica,19H,19,H,-33.30015906,-70.86620816
1749,PMGD PFV TREBAL SOLAR,328986,6290033,Fotovoltaica,19S,19,S,-33.51560532,-70.84133523
1750,PMGD PFV GRANADA,262166.31,6033966.91,Fotovoltaica,19H,19,H,-35.80964201,-71.63224798
1751,PMGD PFV  ARGOMEDO,332986,6191178,Fotovoltaica,19H,19,H,-34.4073637,-70.81714151
1754,PMGD PFV COCHARCAS,222913,5953084,Fotovoltaica,19H,19,H,-36.52750928,-72.09468645
1755,PMGD PFV VICTORIA,504066.639,7515496.029,Fotovoltaica,19S,19,S,-22.46686138,-68.96047185
1761,PMGD PFV SAN RAMIRO,278258.06,62345212.25,Fotovoltaica,19H,19,H,-51.86919264,-63.49800413
1762,PMGD PFV FILOMENA SOLAR,348550,6379891,Fotovoltaica,19H,19,H,-32.70834526,-70.61586
1763,PMGD PFV PUENTE SOLAR,328772.15,6286056.7,Fotovoltaica,19H,19,H,-33.55141709,-70.84439802
1764,PMGD PFV PEPA SOLAR,330220,6263360,Fotovoltaica,19H,19,H,-33.75625479,-70.83314364
1765,PMGD PFV EL GUANACO SOLAR,327184,6284777,Fotovoltaica,19H,19,H,-33.56269734,-70.86174465
1766,PMGD PFV CIPRES,262.321.80,6.033.434.98,Fotovoltaica,19H,19,H,-35.8144706,-71.63068683
1769,PMGD PFV LAS TORCAZAS,259250,6196340,Fotovoltaica,19 H,19,H,-34.34631979,-71.6173287
1774,PMGD PFV LOS TILOS,307289.24,6369024.65,Fotovoltaica,19H,19,H,-32.79986158,-71.05811583
1775,PMGD PFV LAS TORTOLAS,732450,5927680,Fotovoltaica,18 H,18,H,-36.7681815,-72.39564199
1781,PMGD PFV LAS TENCAS,307.644,6.189.377,Fotovoltaica,19h,19,H,-34.3165437,-74.42823108
1782,PMGD PFV PARQUE SOLAR BICENTENARIO,244160,5996671,Fotovoltaica,19H,19,H,-36.14096094,-71.84335243
1783,PMGD PFV  COCINILLAS,297769,6498512,Fotovoltaica,19S,19,S,-31.63080073,-71.13229831
1784,PMGD PFV CANELILLO,285105,6490330,Fotovoltaica,19 S,19,S,-31.70226395,-71.26753156
1786,PMGD PFV CAIMI,275740.94,6313475.03,Fotovoltaica,19H,19,H,-33.2945064,-71.4084037
1787,PMGD PFV QUILLAY,299106,6275512,Fotovoltaica,19 S,19,S,-33.64128575,-71.16614123
1788,PMGD PFV  SANTA CAROLINA,325733,6160372,Fotovoltaica,19H,19,H,-34.68382528,-70.90232767
1791,PMGD PFV CANDELARIA SOLAR,349571,6234198,Fotovoltaica,19H,19,H,-34.02208862,-70.62927821
1796,PMGD PFV DON JORGE (EX PERALILLO),271118,6181260,Fotovoltaica,19H,19,H,-34.48487676,-71.49244531
1797,PMGD PFV PITRA,259094,6304978,Fotovoltaica,19H,19,H,-33.36747839,-71.58929378
1798,PMGD PFV PARQUE SOLAR SAN JAVIER,256818,6057915,Fotovoltaica,19H,19,H,-35.59264454,-71.6841392
1799,PMGD PFV EL ROMERAL,313559,6154670,Fotovoltaica,19H,19,H,-34.73306653,-71.03640877
1801,PMGD PFV PLAYERITO,730173,6026660,Fotovoltaica,18H,18,H,-35.87728322,-72.45035412
1802,PMGD PFV GR RAULI,292374,6114000,Fotovoltaica,19H,19,H,-35.09543469,-71.27775508
1803,PMGD PFV SANTA INES SOLAR,326064,6333214,Fotovoltaica,19H,19,H,-33.12585266,-70.86447227
1805,PMGD PFV PARQUE SOLAR MECO CHILLAN,755934.43,5929082.64,Fotovoltaica,18H,18,H,-36.74950474,-72.13327918
1806,PMGD PFV QUINANTU SOLAR,265935,6068768,Fotovoltaica,19H,19,H,-35.49708541,-71.58046705
1807,PMGD PFV MERCURIO SUR,282509.5,6040873.02,Fotovoltaica,19H,19,H,-35.7521481,-71.40540819
1808,PMGD PFV SATURNO NORTE,282785.04,6041436.48,Fotovoltaica,19H,19,H,-35.74713312,-71.40221055
1811,PMGD PFV MALINKE,288.155,6.260.478,Fotovoltaica,19H,19,H,-33.6781433,-74.38786688
1814,PMGD PFV DON ANDRONICO,285480.27,6236425.53,Fotovoltaica,19 H,19,H,-33.99086436,-71.32246457
1816,PMGD PFV EL SALITRAL,306995,6546255,Fotovoltaica,19 J,19,J,-31.20189156,-71.02579715
1817,PMGD PFV PAINE,502816,7513903,Fotovoltaica,19K,19,K,-22.48125539,-68.97262536
1818,PMGD PFV PARQUE SOLAR OVALLE NORTE,285141,6616027,Fotovoltaica,19J,19,J,-30.5689828,-71.24034027
1820,PMGD PFV TRINIDAD,264050,6197450,Fotovoltaica,19H,19,H,-34.33742361,-71.56488705
1824,PMGD PFV PARQUE SOLAR LA MURALLA,306054,6185768,Fotovoltaica,19J,19,J,-34.45141712,-71.11122931
1825,PMGD PFV LUMBRERAS,285705,6274772,Fotovoltaica,19H,19,H,-33.64533954,-71.31071644
1827,PMGD PFV LINGUE,277419.047,6303899.769,Fotovoltaica,19H,19,H,-33.38114656,-71.39275528
1828,PMGD PFV EL PIUQUEN,747582.925,5926621.67,Fotovoltaica,18H,18,H,-36.77388004,-72.2259247
1829,PMGD PFV LA FORESTA,244800,6127900,Fotovoltaica,19H,19,H,-34.95932008,-71.79489515
1831,PMGD PFV LAS MAJADAS,314352,6605240,Fotovoltaica,19 J,19,J,-30.67115116,-70.937852
1832,PMGD PFV VENTURADA,755786,5937908,Fotovoltaica,18 H,18,H,-36.67008491,-72.13789076
1833,PMGD PFV VILLA SOLAR,260800,6111800,Fotovoltaica,19 H,19,H,-35.10825274,-71.62447057
1835,PMGD PFV PARQUE SOLAR MEMBRILLO,317454,6148288,Fotovoltaica,19H,19,H,-34.79128683,-70.99527248
1836,PMGD PFV BERRUECO,755305,5938214,Fotovoltaica,18 H,18,H,-36.66745896,-72.14336874
1837,PMGD PFV TAMARUGO,432853,7747647,Fotovoltaica,19 K,19,K,-20.36815132,-69.64340739
1838,PMGD PFV CASABERMEJA,317326,6289143,Fotovoltaica,19 H,19,H,-33.52169862,-70.96699951
1842,PMGD PFV SAN CAMILO,288023,6111079,Fotovoltaica,19H,19,H,-35.12084651,-71.32620109
1843,PMGD PFV DADINCO,760481,5953715,Fotovoltaica,18H,18,H,-36.52649499,-72.0907698
1846,PMGD PFV KAUFMANN,337296,6314369,Fotovoltaica,19H,19,H,-33.29750002,-70.74749768
1847,PMGD PFV CURACAVI,300778,6309154,Fotovoltaica,19H,19,H,-33.33837378,-71.14064677
1855,PMGD PFV SANTA RITA,239648,5951577,Fotovoltaica,19 H,19,H,-36.54577958,-71.90851253
1856,PMGD PFV SDSI,738027,5842130,Fotovoltaica,18H,18,H,-37.5371164,-72.30600847
1857,PMGD PFV NAHUEN,297157,6263448,Fotovoltaica,19H,19,H,-33.7496459,-71.18990083
1858,PMGD PFV PRETTY FIELD,279016,6601782,Fotovoltaica,19 J,19,J,-30.69630703,-71.30721003
1859,PMGD PFV PARQUE PENCAHUE ESTE,249944,6077250,Fotovoltaica,19H,19,H,-35.41679612,-71.7539782
1861,PMGD PFV PARQUE ALHUE,289357,6235622,Fotovoltaica,19H,19,H,-33.99889055,-71.28071677
1863,PMGD PFV LO BOZA,336234,6304976,Fotovoltaica,19 H,19,H,-33.38202282,-70.76060287
1866,PMGD PFV GR PITAO,304338,6143801,Fotovoltaica,19H,19,H,-34.82928712,-71.13959335
1867,PMGD PFV LLAY LLAY,316745,6363723,Fotovoltaica,19H,19,H,-32.84927657,-70.95823121
1869,PMGD PFV LINARES SOLAR,262841,6029130,Fotovoltaica,19H,19,H,-35.85336986,-71.62622392
1870,PMGD PFV LOS LAGOS,281128,6206916,Fotovoltaica,19H,19,H,-34.25587585,-71.37698243
1871,PMGD PFV RINCONADA NORTE (SLK 808),341645,6385394,Fotovoltaica,19H,19,H,-32.65775452,-70.68856994
1875,PMGD PFV SALERNO SOLAR,275149,6246118,Fotovoltaica,19 H,19,H,-33.90136538,-71.43174161
1876,PMGD PFV LAS CABRAS,286479,6196755,Fotovoltaica,19 H,19,H,-34.34855009,-71.32143151
1877,PMGD PFV ESFENA,329644,6431925,Fotovoltaica,19H,19,H,-32.23641429,-70.80808599
1878,PMGD PFV VICENTE SOLAR,349949,6272168,Fotovoltaica,19 H,19,H,-33.67982373,-70.61871418
1879,PMGD PFV MUTUPIN,242328,5963952,Fotovoltaica,19H,19,H,-36.43508367,-71.87448391
1880,PMGD PFV ORION SOLAR,765628,5945935,Fotovoltaica,18 H,18,H,-36.59512261,-72.03067214
1885,PMGD PFV QUETENA,503951.9388,7516690.731,Fotovoltaica,19 K,19,K,-22.45606865,-68.96158973
1886,PMGD PFV HUAPE,745793,5945131,Fotovoltaica,18 H,18,H,-36.60767897,-72.25190089
1887,PMGD PFV SANTA ESTER,232297,5957865,Fotovoltaica,19 H,19,H,-36.48713908,-71.98835477
1892,PMGD PFV MOYA,735300,5894417,Fotovoltaica,18 H,18,H,-37.06701013,-72.3534038
1893,PMGD PFV CORTIJO,731712,5890695,Fotovoltaica,18 H,18,H,-37.10141989,-72.39257388
1894,PMGD PFV PEGASUS SOLAR,766146,5945908,Fotovoltaica,18 H,18,H,-36.59522134,-72.02487939
1895,PMGD PFV LOS MOLINOS,289800,6282970,Fotovoltaica,19 H,19,H,-33.57227292,-71.2646573
1896,PMGD PFV GR PEUMO,304335,6189673,Fotovoltaica,19H,19,H,-34.41590062,-71.12903737
1897,PMGD PFV LA PALMA SOLAR,755236,5945987,Fotovoltaica,18H,18,H,-36.59749116,-72.14672349
1901,PMGD PFV LOS MAGNOLIOS SOLAR,273075,6302722,Fotovoltaica,19H,19,H,-33.39085135,-71.43971409
1905,PMGD PFV PARQUE SOLAR MARAMBIO,292999,6261324,Fotovoltaica,19H,19,H,-33.76798394,-71.23525823
1906,PMGD PFV SANTA LUISA,233467,5961862,Fotovoltaica,19H,19,H,-36.45148015,-71.97393394
1909,PMGD PFV ERINOME,253931,6074912,Fotovoltaica,19H,19,H,-35.43884681,-71.71081784
1910,PMGD PFV PACHIRA,262842,6028805,Fotovoltaica,19H,19,H,-35.85629727,-71.62630946
1911,PMGD PFV CONDOR PELVIN,321186,6278160,Fotovoltaica,19H,19,H,-33.62135712,-70.92765644
1914,PMGD PFV EL CASTAÑO,286479,6196755,Fotovoltaica,19H,19,H,-34.34855009,-71.32143151
1915,PMGD PFV SANTA MARGARITA,268213,6183818,Fotovoltaica,19H,19,H,-34.46118145,-71.52335859
1918,PMGD PFV SAN ANTONIO,270778,6030005,Fotovoltaica,19H,19,H,-35.84737696,-71.53815948
1924,PMGD PFV GUADALUPE,356652,6364753,Fotovoltaica,19H,19,H,-32.84593561,-70.53178251
1925,PMGD PFV SOLARPARK VILLA ALEMANA,285748,6341190,Fotovoltaica,19H,19,H,-33.04675127,-71.29449027
1927,PMGD PFV SANTA FRANCISCA,344394,6678110,Fotovoltaica,19J,19,J,-30.01812444,-70.613558
1928,PMGD PFV ESCORIAL DEL VERANO SOLAR,333156,6375932,Fotovoltaica,19H,19,H,-32.74181787,-70.78074695
1934,PMGD PFV TARANTO,274966,6304312,Fotovoltaica,19H,19,H,-33.37692059,-71.41900238
1935,PMGD PFV PUELCHE SOLAR,736366,5843863,Fotovoltaica,18H,18,H,-37.52194011,-72.32534647
1936,PMGD PFV NAZARINO DEL VERANO SOLAR,309002,6267751,Fotovoltaica,19H,19,H,-33.71306289,-71.06116849
1939,PMGD PFV LOS TORDOS,265808,6070737,Fotovoltaica,19H,19,H,-35.47931963,-71.58129829
1954,PMGD PFV EL MONTE,315239,6272465,Fotovoltaica,19H,19,H,-33.67167606,-70.9929162
1955,PMGD PFV REXNER,356817,6360073,Fotovoltaica,19H,19,H,-32.88815834,-70.53074493
1958,PMGD PFV LAS TORTOLAS DEL VERANO,357154,6360637,Fotovoltaica,19H,19,H,-32.88311661,-70.52705598
1963,PMGD PFV SAN CARLOS SOLAR,236410,5967617,Fotovoltaica,19H,19,H,-36.40047894,-71.93918033
1967,PMGD PFV GABARDO DEL VERANO SOLAR,351407,6256171,Fotovoltaica,19H,19,H,-33.82425347,-70.60567784
1976,PMGD PFV TREBO,281327,6273012,Fotovoltaica,18H,18,H,-33.66030917,-77.3583221
1980,PMGD PFV MANAO,313799,6362021,Fotovoltaica,18H,18,H,-32.86412379,-76.99003804
