fecha	hora	demanda
2022-07-04	10	10611,084906542996
2022-07-05	24	10198,822987359903
2022-07-11	2	8481,615499132804
2022-07-14	4	8423,610893273104
2022-07-17	18	9826,393217320297
2022-07-22	8	9244,588472367002
2022-07-24	10	8394,1312384924
2022-07-30	12	9834,8558077216
2022-08-01	6	8136,865373098901
2022-08-01	8	9694,809766964001
2022-08-02	10	10648,173159221902
2022-08-02	23	10427,6559402262
2022-08-03	12	10582,226969876414
2022-08-04	1	9137,7952937198
2022-08-04	14	10083,666658804592
2022-08-05	3	8447,425713396899
2022-08-05	16	10053,1686502754
2022-08-06	5	8221,515801156602
2022-08-06	18	10197,513035388398
2022-08-07	7	7839,335697519998
2022-08-07	10	8313,568633979105
2022-08-07	11	8719,3725217001
2022-08-07	12	8969,320166788197
2022-08-07	13	9199,755475308397
2022-08-07	14	9254,272035308208
2022-08-07	15	9225,4394909954
2022-08-07	16	9052,60426322601
2022-08-07	17	9094,451944003202
2022-08-07	18	9220,221502808992
2022-08-07	19	10099,72129083631
2022-08-09	12	10384,253871953693
2022-08-10	1	9170,1468341415
2022-08-10	14	9970,373030396107
2022-08-11	3	8323,513076835303
2022-08-11	16	10204,810873000699
2022-08-12	5	8221,861498302596
2022-08-12	18	9822,743752712102
2022-08-13	7	8365,116851498704
2022-08-13	20	10188,2750767738
2022-08-13	22	10078,8551643742
2022-08-13	23	9853,882296550997
2022-08-14	1	8932,495307448595
2022-08-14	2	8472,4322159331
2022-08-14	3	8166,669958741203
2022-08-14	4	7985,467119537506
2022-08-14	5	7884,403061158201
2022-08-14	6	7838,796802605096
2022-08-14	7	7883,179415443098
2022-08-14	8	7846,130791580095
2022-08-14	10	8432,103986395303
2022-08-14	23	9862,20919321001
2022-08-15	12	9255,258432970504
2022-08-16	14	11190,933404233097
2022-08-17	3	8399,171178551996
2022-08-17	16	10560,417864236002
2022-08-18	5	8431,181736044702
2022-08-18	18	9714,102349210301
2022-08-19	7	9211,120387656501
2022-08-19	20	10291,872760643004
2022-08-20	9	8722,173201416905
2022-08-20	11	9303,114740921297
2022-08-20	12	9301,679582501809
2022-08-20	13	9280,521277982503
2022-08-20	15	9214,817233070804
2022-08-20	16	9060,067251844199
2022-08-20	17	9058,561557902
2022-08-20	18	9078,956633879907
2022-08-20	19	9537,472272264902
2022-08-20	20	9953,735688149
2022-08-20	21	9993,467014274202
2022-08-20	23	9524,963385368106
2022-08-21	12	8442,349443106097
2022-08-22	1	8641,567351251904
2022-08-22	14	10740,165074736104
2022-08-24	18	9644,247651119289
2022-08-25	7	8694,840199962804
2022-08-25	20	10011,994174714693
2022-08-26	9	9650,317469120606
2022-08-26	22	9813,35325013621
2022-08-26	24	9472,130563125207
2022-08-27	1	9014,095025481
2022-08-27	2	8575,383113011001
2022-08-27	3	8226,250870722399
2022-08-27	4	8027,518117472893
2022-08-27	5	7941,306747497901
2022-08-27	7	8036,248331155207
2022-08-27	8	8032,431234160099
2022-08-27	9	8373,514723456698
2022-08-31	21	10230,229057399301
2022-09-01	6	8358,389224583501
2022-09-01	18	9351,491182260404
2022-09-02	6	8343,039496137902
