fecha	hora	demanda
2022-12-31	1	9568,427876886999
2022-12-31	2	9194,656987874798
2022-12-31	3	8849,391622583502
2022-12-31	4	8636,358695158508
2022-12-31	5	8586,2697000592
2022-12-31	6	8533,178632019608
2022-12-31	7	8512,91087155932
2022-12-31	8	8496,518889562103
2022-12-31	9	8733,450712839529
2022-12-31	11	9443,817883981095
2022-12-31	12	9593,014144770104
2022-12-31	13	9624,436288241697
2022-12-31	14	9691,885694782502
2022-12-31	15	9580,410629738597
2022-12-31	16	9517,103653403783
2022-12-31	17	9389,208498511594
2022-12-31	18	9255,0208057175
2022-12-31	19	9218,87029892036
2022-12-31	20	9108,114223373454
2022-12-31	21	9287,74743973711
2022-12-31	10	9166,3526439985
2022-12-31	23	9301,2383505595
2022-12-31	24	8809,701745210705
2022-12-31	22	9688,724890157104
2022-12-30	1	9947,468487381795
2022-12-30	2	9469,360030846203
2022-12-30	3	9220,144494177595
2022-12-30	4	9012,66616762881
2022-12-30	5	8953,373520394702
2022-12-30	6	8962,156106723904
2022-12-30	7	9038,06256354448
2022-12-30	9	9836,460141814192
2022-12-30	10	10245,889176776507
2022-12-30	11	10521,741219015903
2022-12-30	12	10666,752305030008
2022-12-30	13	10728,480929155103
2022-12-30	14	10742,218172576204
2022-12-30	15	10691,737081681202
2022-12-30	16	10673,73550909729
2022-12-30	17	10675,286561644489
2022-12-30	18	10479,39382275869
2022-12-30	19	10475,6161074389
2022-12-30	20	10321,541542084095
2022-12-30	22	10578,936878459304
2022-12-30	23	10476,347133198797
2022-12-30	24	10074,948800574308
2022-12-30	8	9316,313178473696
2022-12-30	21	10302,512197656153
2022-12-29	1	9820,720573066099
2022-12-29	2	9339,255952825602
2022-12-29	3	9061,825667815503
2022-12-29	4	8919,5599072046
2022-12-29	5	8844,825027553497
2022-12-29	7	9016,547411229
2022-12-29	8	9316,509228959208
2022-12-29	9	9775,619759197512
2022-12-29	10	10235,31369263089
2022-12-29	11	10548,35400786069
2022-12-29	12	10813,524377635496
2022-12-29	13	11004,256530985007
2022-12-29	14	11127,238074394294
2022-12-29	15	11404,381611155895
2022-12-29	16	11503,047999334098
2022-12-29	17	11384,769885303596
2022-12-29	18	11125,503189200188
2022-12-29	20	10679,699614889707
2022-12-29	21	10593,078334410196
2022-12-29	22	11021,289954917707
2022-12-29	23	10896,892720118703
2022-12-29	24	10486,2617539239
2022-12-29	6	8847,877865829403
2022-12-29	19	10807,698523774508
2022-12-28	1	9763,8333711362
2022-12-28	2	9300,628102613304
2022-12-28	3	9005,549295841305
2022-12-28	5	8766,349626538798
2022-12-28	6	8806,8901042052
2022-12-28	7	8985,446600337862
2022-12-28	8	9298,446101776508
2022-12-28	9	9796,490182476691
2022-12-28	10	10299,144694014203
2022-12-28	11	10596,926667646203
2022-12-28	12	10773,976082735187
2022-12-28	13	10973,6770386847
2022-12-28	14	11075,440782566713
2022-12-28	15	11257,958631718095
2022-12-28	16	11294,933175612901
2022-12-28	18	11083,439096313683
2022-12-28	19	10794,350699131594
2022-12-28	20	10601,875419753285
2022-12-28	21	10657,728660750001
2022-12-28	22	10883,491015764594
2022-12-28	23	10792,402334827706
2022-12-28	24	10371,0686875616
2022-12-28	17	11260,690188549408
2022-12-28	4	8854,394214420103
2022-12-27	1	9579,284412086794
2022-12-27	3	8914,239579930501
2022-12-27	4	8774,5467578364
2022-12-27	5	8719,829456222502
2022-12-27	6	8744,036296657798
2022-12-27	7	8941,651416743276
2022-12-27	8	9214,824232028834
2022-12-27	9	9848,1217141319
2022-12-27	10	10372,437305931993
2022-12-27	11	10693,361020915097
2022-12-27	12	10924,738858500301
2022-12-27	13	11098,143489214703
2022-12-27	14	11218,925811143583
2022-12-27	16	11325,796593812092
2022-12-27	17	11331,531542400484
2022-12-27	18	11107,47087893671
2022-12-27	19	10788,15917782191
2022-12-27	20	10603,231505892689
2022-12-27	21	10590,274613680256
2022-12-27	22	10878,968014730593
2022-12-27	23	10785,86935874979
2022-12-27	24	10320,275900772596
2022-12-27	2	9173,762830879203
2022-12-27	15	11350,887087104678
2022-12-26	2	8601,466483974194
2022-12-26	3	8442,4885470593
2022-12-26	4	8314,332173608898
2022-12-26	5	8261,313735408303
2022-12-26	6	8359,514785482603
2022-12-26	7	8535,197570134236
2022-12-26	8	8815,16349049063
2022-12-26	9	9356,5096379246
2022-12-26	10	10079,57772918121
2022-12-26	11	10436,2257851092
2022-12-26	12	10703,604569403398
2022-12-26	14	11001,045604095201
2022-12-26	15	11079,136576253304
2022-12-26	16	11009,343568009504
2022-12-26	17	10960,824685553403
2022-12-26	18	10836,851665071024
2022-12-26	19	10568,739064923593
2022-12-26	20	10469,779563701206
2022-12-26	21	10541,28780922969
2022-12-26	22	10740,348868358595
2022-12-26	23	10591,787120946703
2022-12-26	24	10099,174184924306
2022-12-26	13	10855,480343127101
2022-12-26	1	8909,5349852706
2022-12-25	1	9048,650628937501
2022-12-25	2	8830,8902751653
2022-12-25	3	8539,730861948501
2022-12-25	4	8280,486940959698
2022-12-25	5	8121,534045416895
2022-12-25	6	8013,6542762316
2022-12-25	7	7920,227692248546
2022-12-25	8	7677,4262815154025
2022-12-25	9	7744,76408012949
2022-12-25	11	8296,509199673392
2022-12-25	23	9616,373029186703
2022-12-25	10	8050,234249559398
2022-12-25	12	8569,039965689595
2022-12-25	13	8799,459134539798
2022-12-25	15	9126,09663327169
2022-12-25	16	9034,352926663798
2022-12-25	17	8910,824661588598
2022-12-25	18	8786,133753377093
2022-12-25	19	8854,443790753705
2022-12-25	20	8972,056294478409
2022-12-25	21	9057,79591739416
2022-12-25	22	9574,201046757913
2022-12-25	24	9253,664357639796
2022-12-25	14	9054,00766103001
2022-12-24	1	9851,738732935399
2022-12-24	2	9455,354482663299
